n_trials,implementation,time,mean_rt,accuracy
100,python,0.16125106811523438,1.9925599999998915,1.0
100,numpy,0.023586273193359375,2.02529,1.0
100,tensorflow_cpu,0.11678004264831543,2.02590012550354,1.0
100,tensorflow_gpu,0.23701214790344238,2.0241799354553223,1.0
1000,python,1.5660641193389893,1.985063999999892,1.0
1000,numpy,0.30126404762268066,2.0036750000000003,1.0
1000,tensorflow_cpu,0.19884419441223145,2.0005712509155273,1.0
1000,tensorflow_gpu,0.27016496658325195,2.006826162338257,1.0
10000,python,15.75097107887268,2.00325439999989,1.0
10000,numpy,3.220407724380493,2.0003649,1.0
10000,tensorflow_cpu,1.6247191429138184,2.0029401779174805,1.0
10000,tensorflow_gpu,1.7179911136627197,2.0001516342163086,1.0
50000,python,80.3242838382721,2.00268663999989,1.0
50000,numpy,49.52067804336548,2.00286644,1.0
50000,tensorflow_cpu,9.479558944702148,2.0062873363494873,1.0
50000,tensorflow_gpu,11.814565181732178,2.003836154937744,1.0
